date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:09:36	11/11	---M--	200	added ('OK')	text/plain	etag:%22b-599a5e5c8f8ab%22	https://sitetest1.roblonium.com/robots.txt		(from )
11:09:37	0/0	---MC-	302	error ('Found')	text/html	date:Fri,%2006%20Aug%202021%2009:09:36%20GMT	https://sitetest1.roblonium.com/	C:/Users/38761/Downloads/My%20Test%20Sites/TestLol/sitetest1.roblonium.com/index.html	(from )
11:09:37	0/0	---MC-	302	error ('Found')	text/html	date:Fri,%2006%20Aug%202021%2009:09:37%20GMT	https://sitetest1.roblonium.com/Default.aspx	C:/Users/38761/Downloads/My%20Test%20Sites/TestLol/sitetest1.roblonium.com/Default.aspx	(from https://sitetest1.roblonium.com/)
11:09:38	43650/43650	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Aug%202021%2009:09:37%20GMT	https://sitetest1.roblonium.com/Landing/Animated	C:/Users/38761/Downloads/My%20Test%20Sites/TestLol/sitetest1.roblonium.com/Landing/Animated.html	(from https://sitetest1.roblonium.com/)
11:09:38	282316/282316	---MCZ	200	added ('OK')	text/css	etag:W/%2244ecc-5b29ef80025d9%22	https://sitetest1.roblonium.com/roblonium.css	C:/Users/38761/Downloads/My%20Test%20Sites/TestLol/sitetest1.roblonium.com/roblonium.css	(from https://sitetest1.roblonium.com/Landing/Animated)
11:09:38	38584/38584	---MCZ	200	added ('OK')	text/css	etag:W/%2299b7-5ae51e1baacea%22	https://sitetest1.roblonium.com/roblonium1.css	C:/Users/38761/Downloads/My%20Test%20Sites/TestLol/sitetest1.roblonium.com/roblonium1.css	(from https://sitetest1.roblonium.com/Landing/Animated)
11:09:39	89/89	---MCZ	200	added ('OK')	text/css	etag:W/%226f-5aca807cbb46a%22	https://sitetest1.roblonium.com/Testing/Style.css	C:/Users/38761/Downloads/My%20Test%20Sites/TestLol/sitetest1.roblonium.com/Testing/Style.css	(from https://sitetest1.roblonium.com/Landing/Animated)
11:09:39	184830/184830	---MCZ	200	added ('OK')	image/x-icon	etag:W/%222d1fe-5a150435722b4%22	https://sitetest1.roblonium.com/favicon.ico	C:/Users/38761/Downloads/My%20Test%20Sites/TestLol/sitetest1.roblonium.com/favicon.ico	(from https://sitetest1.roblonium.com/Landing/Animated)
11:09:39	94840/94840	---M-Z	200	added ('OK')	application/javascript	etag:%2280385acc33d21:0%22	https://ajax.aspnetcdn.com/ajax/jQuery/jquery-1.7.2.min.js	C:/Users/38761/Downloads/My%20Test%20Sites/TestLol/ajax.aspnetcdn.com/ajax/jQuery/jquery-1.7.2.min.js	(from https://sitetest1.roblonium.com/Landing/Animated)
11:09:40	94844/94844	---MCZ	200	added ('OK')	application/javascript	etag:W/%221727c-5a1504399243d%22	https://sitetest1.roblonium.com/js/jquery/jquery-1.7.2.min.js	C:/Users/38761/Downloads/My%20Test%20Sites/TestLol/sitetest1.roblonium.com/js/jquery/jquery-1.7.2.min.js	(from https://sitetest1.roblonium.com/Landing/Animated)
11:09:40	21730/21730	---M-Z	200	added ('OK')	application/javascript	etag:%22c7ad2e2ca33d21:0%22	https://ajax.aspnetcdn.com/ajax/4.0/1/WebForms.js	C:/Users/38761/Downloads/My%20Test%20Sites/TestLol/ajax.aspnetcdn.com/ajax/4.0/1/WebForms.js	(from https://sitetest1.roblonium.com/Landing/Animated)
